下り,,321M,323M,1221M,325M,1223M,327M,225M,1329M,1227M,7200D,1721M,快速21M,1723M,1229M,231M,331M,1233M,1725M,722D,快速23M,333M,1235M,1727M,237M,1239M,335M,1729M,1241M,337M,1731M,1243M,1339M,1733M,724D,1245M,1341M,1735M,1247M,1343M,1734M,1249M,1345M,1739M,1251M,726D,347M,1741M,1253M,349M,1743M,1745M,255M,728D,351M,1257M,快速25M,353M,1259M,730D,快速27M,355M,1261M,357M,1263M,732D,359M,1265M,1267M,快速29M
始発駅,,福井,福井,敦賀,福井,敦賀,福井,敦賀,福井,敦賀,九頭竜湖,福井,敦賀,福井,敦賀,敦賀,福井,敦賀,武生,越前大野,敦賀,福井,敦賀,武生,敦賀,敦賀,福井,武生,敦賀,福井,武生,敦賀,福井,武生,九頭竜湖,敦賀,福井,武生,敦賀,福井,武生,敦賀,福井,武生,敦賀,九頭竜湖,福井,武生,敦賀,福井,武生,福井,敦賀,越前大野,福井,敦賀,敦賀,福井,敦賀,九頭竜湖,敦賀,福井,敦賀,福井,敦賀,九頭竜湖,福井,敦賀,敦賀,敦賀
終着駅,,金沢,金沢,芦原温泉,金沢,福井,金沢,芦原温泉,金沢,福井,福井,芦原温泉,福井,芦原温泉,福井,福井,金沢,福井,福井,福井,福井,金沢,鯖江,福井,金沢,福井,金沢,福井,福井,金沢,福井,福井,金沢,福井,福井,福井,金沢,福井,福井,金沢,福井,福井,金沢,福井,福井,福井,金沢,芦原温泉,福井,金沢,芦原温泉,芦原温泉,福井,福井,金沢,芦原温泉,福井,金沢,芦原温泉,福井,福井,金沢,福井,金沢,福井,福井,金沢,福井,芦原温泉,福井
敦賀,発,,,5:32,,5:49,,6:08,,6:26,,,6:48,,6:52,7:01,,7:09,,,7:45,,8:04,,8:37,9:13,,,10:13,,,11:12,,,,12:13,,,13:13,,,14:13,,,15:06,,,,16:06,,,,17:11,,,17:40,18:19,,18:40,,19:41,,20:01,,20:43,,,21:43,22:37,23:22
武生,着,,,6:03,,6:19,,6:38,,6:57,,,7:14,,7:22,7:31,,7:40,,,8:10,,8:36,,9:07,9:44,,,10:44,,,11:43,,,,12:44,,,13:43,,,14:43,,,15:37,,,,16:37,,,,17:42,,,18:13,18:44,,19:13,,20:05,,20:32,,21:14,,,22:14,23:08,23:46
武生,発,,,6:03,,6:20,,6:39,,6:58,,,7:15,,7:23,7:32,,7:41,7:50,,8:10,,8:37,8:55,9:08,9:44,,10:10,10:44,,10:10,11:43,,12:10,,12:44,,13:10,13:44,,14:10,14:44,,15:10,15:38,,,16:10,16:38,,17:10,,17:42,,,18:14,18:45,,19:13,,20:05,,20:33,,21:15,,,22:15,23:09,23:47
鯖江,着,,,6:08,,6:24,,6:43,,7:02,,,7:20,,7:28,7:36,,7:45,7:55,,8:15,,8:42,9:01,9:12,9:49,,10:15,10:49,,11:15,11:48,,12:15,,12:49,,13:15,13:48,,14:15,14:48,,15:16,15:42,,,16:15,16:42,,17:15,,17:47,,,18:19,18:49,,19:18,,20:10,,20:37,,21:19,,,22:19,23:13,23:51
鯖江,発,,,6:09,,6:25,,6:44,,7:03,,,7:21,,7:29,7:37,,7:46,7:56,,8:16,,,9:02,9:13,9:50,,10:16,10:50,,11:16,11:49,,12:15,,12:50,,13:16,13:49,,14:16,14:49,,15:17,15:43,,,16:16,16:43,,17:16,,17:47,,,18:20,18:50,,19:19,,20:10,,20:38,,21:20,,,22:20,23:14,23:52
福井,着,,,6:23,,6:40,,6:58,,7:19,,,7:31,,7:44,7:52,,8:01,8:11,,8:25,,,9:18,9:27,10:04,,10:31,11:04,,11:31,12:03,,12:30,,13:04,,13:31,14:04,,14:31,15:04,,15:32,15:58,,,16:30,16:58,,17:31,,18:02,,,18:34,18:59,,19:33,,20:20,,20:53,,21:35,,,22:35,23:29,0:01
