ID,方向,始発駅,終着駅,福井_発,鯖江_着,鯖江_発,武生_着,武生_発,敦賀_着,敦賀_発,福井_着
1220M,上り,福井,敦賀,5:21,5:36,5:36,5:41,5:41,6:13,,
快速22M,上り,福井,敦賀,5:49,5:58,5:59,6:03,6:04,6:28,,
1720M,上り,芦原温泉,敦賀,6:01,6:16,6:16,6:21,6:21,6:53,,
1320M,上り,金沢,福井,,,,,,,,
1222M,上り,福井,敦賀,6:45,7:00,7:01,7:05,7:06,7:37,,
1722M,上り,芦原温泉,福井,,,,,,,,
快速24M,上り,福井,敦賀,7:16,7:25,7:26,7:30,7:30,7:55,,
1724M,上り,福井,武生,7:24,7:39,7:39,7:44,,,,
322M,上り,金沢,敦賀,7:36,7:50,7:51,7:55,7:56,8:27,,
726M,上り,芦原温泉,福井,,,,,,,,
1224M,上り,福井,敦賀,7:54,8:09,8:10,8:14,8:15,8:47,,
1226M,上り,福井,敦賀,8:06,8:21,8:22,8:26,8:27,8:57,,
1728M,上り,芦原温泉,福井,,,,,,,,
1324M,上り,金沢,福井,,,,,,,,
1732M,上り,福井,武生,8:30,8:45,8:45,8:50,,,,
1730M,上り,芦原温泉,福井,,,,,,,,
1228M,上り,鯖江,敦賀,,,8:52,8:56,8:57,9:28,,
1230M,上り,福井,敦賀,9:08,9:22,9:23,9:27,9:28,9:59,,
326M,上り,金沢,福井,,,,,,,,
723D,上り,福井,九頭竜湖,,,,,,,,
1734M,上り,福井,武生,9:38,9:53,9:53,9:58,,,,
1828M,上り,金沢,福井,,,,,,,,
1232M,上り,福井,敦賀,10:09,10:24,10:25,10:29,10:30,11:00,,
1736M,上り,福井,武生,10:38,10:53,10:53,10:58,,,,
330M,上り,金沢,福井,,,,,,,,
1234M,上り,福井,敦賀,11:09,11:24,11:25,11:29,11:30,12:00,,
1738M,上り,福井,武生,11:38,11:53,11:54,11:59,,,,
1332M,上り,金沢,福井,,,,,,,,
1236M,上り,福井,敦賀,12:08,12:23,12:24,12:28,12:29,13:00,,
1740M,上り,福井,武生,12:38,12:53,12:54,12:59,,,,
725D,上り,福井,九頭竜湖,,,,,,,,
1334M,上り,金沢,福井,,,,,,,,
1238M,上り,福井,敦賀,13:09,13:24,13:25,13:29,13:30,14:00,,
1743M,上り,福井,武生,13:38,13:53,13:53,13:58,,,,
1336M,上り,金沢,福井,,,,,,,,
1240M,上り,福井,敦賀,14:09,14:23,14:24,14:28,14:29,15:00,,
1744M,上り,福井,武生,14:38,14:52,14:53,14:58,,,,
1338M,上り,金沢,福井,,,,,,,,
727D,上り,福井,越前大野,,,,,,,,
1242M,上り,福井,敦賀,15:09,15:23,15:24,15:28,15:29,15:59,,
1746M,上り,福井,武生,15:38,15:53,15:53,15:58,,,,
340M,上り,金沢,福井,,,,,,,,
1244M,上り,福井,敦賀,16:05,16:20,16:20,16:25,16:25,16:58,,
342M,上り,金沢,福井,,,,,,,,
1748M,上り,福井,武生,16:44,16:59,16:59,17:04,,,,
729D,上り,福井,九頭竜湖,,,,,,,,
1246M,上り,福井,敦賀,17:05,17:20,17:20,17:25,17:25,17:57,,
1750M,上り,芦原温泉,福井,,,,,,,,
1344M,上り,金沢,福井,,,,,,,,
1248M,上り,福井,敦賀,17:39,17:54,17:54,17:59,17:59,18:30,,
346M,上り,金沢,敦賀,18:06,18:20,18:20,18:25,18:25,18:56,,
1752M,上り,芦原温泉,福井,,,,,,,,
731D,上り,福井,九頭竜湖,,,,,,,,
250M,上り,福井,敦賀,18:26,18:40,18:41,18:46,18:47,19:17,,
348M,上り,金沢,福井,,,,,,,,
快速26M,上り,福井,敦賀,18:47,18:56,18:56,19:01,19:01,19:25,,
1754M,上り,芦原温泉,敦賀,18:59,19:13,19:14,19:18,19:19,19:50,,
733D,上り,福井,越前大野,,,,,,,,
350M,上り,金沢,福井,,,,,,,,
1252M,上り,福井,敦賀,19:22,19:37,19:37,19:42,19:42,20:15,,
1756M,上り,芦原温泉,福井,,,,,,,,
352M,上り,金沢,福井,,,,,,,,
快速28M,上り,福井,敦賀,19:59,20:08,20:08,20:13,20:13,20:37,,
1758M,上り,芦原温泉,福井,,,,,,,,
1254M,上り,福井,敦賀,20:28,20:42,20:43,20:47,20:48,21:19,,
735D,上り,福井,越前大野,,,,,,,,
354M,上り,金沢,福井,,,,,,,,
1256M,上り,福井,敦賀,20:59,21:14,21:14,21:19,21:19,21:50,,
356M,上り,金沢,福井,,,,,,,,
1258M,上り,福井,敦賀,21:41,21:56,21:57,22:01,22:02,22:32,,
358M,上り,金沢,福井,,,,,,,,
737D,上り,福井,越前大野,,,,,,,,
360M,上り,金沢,福井,,,,,,,,
1260M,上り,福井,敦賀,22:40,22:54,22:55,22:59,23:00,23:31,,
1362M,上り,金沢,福井,,,,,,,,
1262M,上り,福井,敦賀,23:22,23:37,23:37,23:42,23:42,0:14,,
364M,上り,金沢,福井,,,,,,,,
321M,下り,福井,金沢,,,,,,,,
323M,下り,福井,金沢,,,,,,,,
1221M,下り,敦賀,芦原温泉,,6:08,6:09,6:03,6:03,,5:32,6:23
325M,下り,福井,金沢,,,,,,,,
1223M,下り,敦賀,福井,,6:24,6:25,6:19,6:20,,5:49,6:40
327M,下り,福井,金沢,,,,,,,,
225M,下り,敦賀,芦原温泉,,6:43,6:44,6:38,6:39,,6:08,6:58
1329M,下り,福井,金沢,,,,,,,,
1227M,下り,敦賀,福井,,7:02,7:03,6:57,6:58,,6:26,7:19
7200D,下り,九頭竜湖,福井,,,,,,,,
1721M,下り,福井,芦原温泉,,,,,,,,
快速21M,下り,敦賀,福井,,7:20,7:21,7:14,7:15,,6:48,7:31
1723M,下り,福井,芦原温泉,,,,,,,,
1229M,下り,敦賀,福井,,7:28,7:29,7:22,7:23,,6:52,7:44
231M,下り,敦賀,福井,,7:36,7:37,7:31,7:32,,7:01,7:52
331M,下り,福井,金沢,,,,,,,,
1233M,下り,敦賀,福井,,7:45,7:46,7:40,7:41,,7:09,8:01
1725M,下り,武生,福井,,7:55,7:56,,7:50,,,8:11
722D,下り,越前大野,福井,,,,,,,,
快速23M,下り,敦賀,福井,,8:15,8:16,8:10,8:10,,7:45,8:25
333M,下り,福井,金沢,,,,,,,,
1235M,下り,敦賀,鯖江,,8:42,,8:36,8:37,,8:04,
1727M,下り,武生,福井,,9:01,9:02,,8:55,,,9:18
237M,下り,敦賀,金沢,,9:12,9:13,9:07,9:08,,8:37,9:27
1239M,下り,敦賀,福井,,9:49,9:50,9:44,9:44,,9:13,10:04
335M,下り,福井,金沢,,,,,,,,
1729M,下り,武生,福井,,10:15,10:16,,10:10,,,10:31
1241M,下り,敦賀,福井,,10:49,10:50,10:44,10:44,,10:13,11:04
337M,下り,福井,金沢,,,,,,,,
1731M,下り,武生,福井,,11:15,11:16,,10:10,,,11:31
1243M,下り,敦賀,福井,,11:48,11:49,11:43,11:43,,11:12,12:03
1339M,下り,福井,金沢,,,,,,,,
1733M,下り,武生,福井,,12:15,12:15,,12:10,,,12:30
724D,下り,九頭竜湖,福井,,,,,,,,
1245M,下り,敦賀,福井,,12:49,12:50,12:44,12:44,,12:13,13:04
1341M,下り,福井,金沢,,,,,,,,
1735M,下り,武生,福井,,13:15,13:16,,13:10,,,13:31
1247M,下り,敦賀,福井,,13:48,13:49,13:43,13:44,,13:13,14:04
1343M,下り,福井,金沢,,,,,,,,
1734M,下り,武生,福井,,14:15,14:16,,14:10,,,14:31
1249M,下り,敦賀,福井,,14:48,14:49,14:43,14:44,,14:13,15:04
1345M,下り,福井,金沢,,,,,,,,
1739M,下り,武生,福井,,15:16,15:17,,15:10,,,15:32
1251M,下り,敦賀,福井,,15:42,15:43,15:37,15:38,,15:06,15:58
