ID,方向,始発駅,終着駅,福井_発,鯖江_着,鯖江_発,武生_着,武生_発,敦賀_着,敦賀_発,福井_着
726D,下り,九頭竜湖,福井,,,,,,,,
347M,下り,福井,金沢,,,,,,,,
1741M,下り,武生,芦原温泉,,16:15,16:16,,16:10,,,16:30
1253M,下り,敦賀,福井,,16:42,16:43,16:37,16:38,,16:06,16:58
349M,下り,福井,金沢,,,,,,,,
1743M,下り,武生,芦原温泉,,17:15,17:16,,17:10,,,17:31
1745M,下り,福井,芦原温泉,,,,,,,,
255M,下り,敦賀,福井,,17:47,17:47,17:42,17:42,,17:11,18:02
728D,下り,越前大野,福井,,,,,,,,
351M,下り,福井,金沢,,,,,,,,
1257M,下り,敦賀,芦原温泉,,18:19,18:20,18:13,18:14,,17:40,18:34
快速25M,下り,敦賀,福井,,18:49,18:50,18:44,18:45,,18:19,18:59
353M,下り,福井,金沢,,,,,,,,
1259M,下り,敦賀,芦原温泉,,19:18,19:19,19:13,19:13,,18:40,19:33
730D,下り,九頭竜湖,福井,,,,,,,,
快速27M,下り,敦賀,福井,,20:10,20:10,20:05,20:05,,19:41,20:20
355M,下り,福井,金沢,,,,,,,,
1261M,下り,敦賀,福井,,20:37,20:38,20:32,20:33,,20:01,20:53
357M,下り,福井,金沢,,,,,,,,
1263M,下り,敦賀,福井,,21:19,21:20,21:14,21:15,,20:43,21:35
732D,下り,九頭竜湖,福井,,,,,,,,
359M,下り,福井,金沢,,,,,,,,
1265M,下り,敦賀,福井,,22:19,22:20,22:14,22:15,,21:43,22:35
1267M,下り,敦賀,芦原温泉,,23:13,23:14,23:08,23:09,,22:37,23:29
快速29M,下り,敦賀,福井,,23:51,23:52,23:46,23:47,,23:22,0:01
