上り,,1220M,快速22M,1720M,1320M,1222M,1722M,快速24M,1724M,322M,726M,1224M,1226M,1728M,1324M,1732M,1730M,1228M,1230M,326M,723D,1734M,1828M,1232M,1736M,330M,1234M,1738M,1332M,1236M,1740M,725D,1334M,1238M,1743M,1336M,1240M,1744M,1338M,727D,1242M,1746M,340M,1244M,342M,1748M,729D,1246M,1750M,1344M,1248M,346M,1752M,731D,250M,348M,快速26M,1754M,733D,350M,1252M,1756M,352M,快速28M,1758M,1254M,735D,354M,1256M,356M,1258M,358M,737D,360M,1260M,1362M,1262M,364M
始発駅,,福井,福井,芦原温泉,金沢,福井,芦原温泉,福井,福井,金沢,芦原温泉,福井,福井,芦原温泉,金沢,福井,芦原温泉,鯖江,福井,金沢,福井,福井,金沢,福井,福井,金沢,福井,福井,金沢,福井,福井,福井,金沢,福井,福井,金沢,福井,福井,金沢,福井,福井,福井,金沢,福井,金沢,福井,福井,福井,芦原温泉,金沢,福井,金沢,芦原温泉,福井,福井,金沢,福井,芦原温泉,福井,金沢,福井,芦原温泉,金沢,福井,芦原温泉,福井,福井,金沢,福井,金沢,福井,金沢,福井,金沢,福井,金沢,福井,金沢
終着駅,,敦賀,敦賀,敦賀,福井,敦賀,福井,敦賀,武生,敦賀,福井,敦賀,敦賀,福井,福井,武生,福井,敦賀,敦賀,福井,くじゅ龍虎,武生,福井,敦賀,武生,福井,敦賀,武生,福井,敦賀,武生,九頭竜湖,福井,敦賀,武生,福井,敦賀,武生,福井,越前大野,敦賀,武生,福井,敦賀,福井,武生,九頭竜湖,敦賀,福井,福井,敦賀,敦賀,福井,九頭竜湖,敦賀,福井,敦賀,敦賀,越前大野,福井,敦賀,福井,福井,敦賀,福井,敦賀,越前大野,福井,敦賀,福井,敦賀,福井,越前大野,福井,敦賀,福井,敦賀,福井
福井,発,5:21,5:49,6:01,,6:45,,7:16,7:24,7:36,,7:54,8:06,,,8:30,,,9:08,,,9:38,,10:09,10:38,,11:09,11:38,,12:08,12:38,,,13:09,13:38,,14:09,14:38,,,15:09,15:38,,16:05,,16:44,,17:05,,,17:39,18:06,,,18:26,,18:47,18:59,,,19:22,,,19:59,,20:28,,,20:59,,21:41,,,,22:40,,23:22,
鯖江,着,5:36,5:58,6:16,,7:00,,7:25,7:39,7:50,,8:09,8:21,,,8:45,,,9:22,,,9:53,,10:24,10:53,,11:24,11:53,,12:23,12:53,,,13:24,13:53,,14:23,14:52,,,15:23,15:53,,16:20,,16:59,,17:20,,,17:54,18:20,,,18:40,,18:56,19:13,,,19:37,,,20:08,,20:42,,,21:14,,21:56,,,,22:54,,23:37,
鯖江,発,5:36,5:59,6:16,,7:01,,7:26,7:39,7:51,,8:10,8:22,,,8:45,,8:52,9:23,,,9:53,,10:25,10:53,,11:25,11:54,,12:24,12:54,,,13:25,13:53,,14:24,14:53,,,15:24,15:53,,16:20,,16:59,,17:20,,,17:54,18:20,,,18:41,,18:56,19:14,,,19:37,,,20:08,,20:43,,,21:14,,21:57,,,,22:55,,23:37,
敦賀,着,6:13,6:28,6:53,,7:37,,,,8:27,,8:47,8:57,,,,,9:28,9:59,,,,,11:00,,,12:00,,,13:00,,,,14:00,,,15:00,,,,15:59,,,16:58,,,,,,,18:30,18:56,,,19:17,,19:25,19:50,,,20:15,,,20:37,,21:19,,,21:50,,22:32,,,,23:31,,0:14,
